MeetingDate,MeetingName,RaceNumber,RunnerNumber,WinDeduction
2016-01-01,BUNBURY,2,5,0
2016-01-01,BUNBURY,3,3,0
2016-01-01,BUNBURY,4,10,0
2016-01-01,BUNBURY,4,1,0
2016-01-01,BUNBURY,6,17,0
2016-01-01,BUNBURY,6,18,0
2016-01-01,BUNBURY,6,11,0
2016-01-01,BUNBURY,6,13,0
2016-01-01,BUNBURY,7,13,0
2016-01-01,BUNBURY,7,14,0
2016-01-01,BUNBURY,7,8,0
2016-01-01,BUNBURY,7,9,0
2016-01-01,DOOMBEN,1,3,0
2016-01-01,DOOMBEN,1,14,0
2016-01-01,DOOMBEN,1,15,0
2016-01-01,DOOMBEN,1,7,0
2016-01-01,DOOMBEN,1,8,0
2016-01-01,DOOMBEN,2,7,10
2016-01-01,DOOMBEN,3,16,0
2016-01-01,DOOMBEN,4,7,19
2016-01-01,DOOMBEN,5,2,5
2016-01-01,DOOMBEN,6,12,0
2016-01-01,DOOMBEN,6,9,0
2016-01-01,DOOMBEN,7,10,0
2016-01-01,DOOMBEN,7,13,0
2016-01-01,DOOMBEN,7,5,10
2016-01-01,DOOMBEN,7,6,8
2016-01-01,DOOMBEN,7,8,0
2016-01-01,DOOMBEN,8,21,0
2016-01-01,DOOMBEN,8,17,0
2016-01-01,DOOMBEN,8,12,0
2016-01-01,DOOMBEN,8,3,0
2016-01-01,DOOMBEN,8,5,0
2016-01-01,DOOMBEN,8,2,0
2016-01-01,FLEMINGTON,1,1,35
2016-01-01,FLEMINGTON,1,8,0
2016-01-01,FLEMINGTON,4,11,3
2016-01-01,FLEMINGTON,4,10,5
2016-01-01,FLEMINGTON,6,16,10
2016-01-01,FLEMINGTON,6,18,0
2016-01-01,FLEMINGTON,6,12,7
2016-01-01,FLEMINGTON,6,4,0
2016-01-01,FLEMINGTON,6,8,5
2016-01-01,FLEMINGTON,6,1,0
2016-01-01,FLEMINGTON,8,11,7
2016-01-01,FLEMINGTON,8,15,0
2016-01-01,INVERELL,1,2,0
2016-01-01,INVERELL,1,14,0
2016-01-01,INVERELL,1,15,0
2016-01-01,INVERELL,1,16,0
