DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,MARKET TYPE,MARKET LINE / TOTAL,BET          LINE / TOTAL,AGENCY,W.E.I. ODDS,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP,MID TOTE,HIGHEST FIXED CLOSING PRICE,SB OPENING PRICE,BFSP Converted P&L Less Commission,BFSP Price Less Commission,Fixed,Fixed Converted P&L Less Stake,BOB
1/09/2017,John's Analytics,,Fri,1120,New Zealand,Horse Racing,,ASHBURTON,3,6,MISS SPECIAL,0.4,,Win,,,VicFix,15,0,0,-0.4,-0.4,0.4,-100.00%,-0.40%,-40,F,,,15,16,15,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/09/2017,John's Analytics,,Fri,1120,New Zealand,Horse Racing,,ASHBURTON,3,6,MISS SPECIAL,0.8,,Place,,,SB,5.5,2,4.4,3.6,3.2,1.2,266.70%,3.20%,320,W,,,5.5,6,5.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/09/2017,John's Analytics,,Fri,1520,Australia,Horse Racing,,WYONG,5,3,WIDE ACCLAIM,0.5,,Win,,,VicFix,8.6,0,0,-0.5,2.7,1.7,158.80%,2.70%,270,F,,,8,8.5,8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/09/2017,John's Analytics,,Fri,1520,Australia,Horse Racing,,WYONG,5,3,WIDE ACCLAIM,1,,Place,,,CB,2.7,0,0,-1,1.7,2.7,63.00%,1.70%,170,F,,,2.7,2.88,2.7,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1350,New Zealand,Horse Racing,,HASTINGS,7,7,GINGERNUTS,0.4,,Win,,,Lux,14,0,0,-0.4,1.3,3.1,41.90%,1.30%,130,F,,,14,17,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1350,New Zealand,Horse Racing,,HASTINGS,7,7,GINGERNUTS,0.8,,Place,,,VicFix,3.95,0,0,-0.8,0.5,3.9,12.80%,0.50%,50,F,,,3.95,4,3.95,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1407,Australia,Horse Racing,,DOOMBEN,5,12,PRIME TARGET,0.5,,Win,,,CB,8.2,0,0,-0.5,0,4.4,0.00%,0.00%,0,F,,,8,10,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1407,Australia,Horse Racing,,DOOMBEN,5,12,PRIME TARGET,1,,Place,,,SB,2.35,0,0,-1,-1,5.4,-18.50%,-1.00%,-100,F,,,2.35,2.62,2.35,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1554,Australia,Horse Racing,,CAIRNS,4,9,BOYS FROM THE BUSH,0.2,,Win,,,SB,35,0,0,-0.2,-1.2,5.6,-21.40%,-1.20%,-120,F,,,35,41,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1554,Australia,Horse Racing,,CAIRNS,4,9,BOYS FROM THE BUSH,0.4,,Place,,,SB,7,0,0,-0.4,-1.6,6,-26.70%,-1.60%,-160,F,,,7,8,7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1706,Australia,Horse Racing,,WARRACKNABEAL,8,13,SOLDIER'S IMAGE,0.5,,Win,,,Lux,8.5,0,0,-0.5,-2.1,6.5,-32.30%,-2.10%,-210,F,,,8.5,9,8.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1706,Australia,Horse Racing,,WARRACKNABEAL,8,13,SOLDIER'S IMAGE,1,,Place,,,SB,2.8,0,0,-1,-3.1,7.5,-41.30%,-3.10%,-310,F,,,2.8,2.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1808,Australia,Horse Racing,,TOOWOOMBA,2,3,WILL TO RULE,0.5,,Win,,,Tatts,8,0,0,-0.5,-3.6,8,-45.00%,-3.60%,-360,F,,,8,8,8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2017,John's Analytics,,Sat,1808,Australia,Horse Racing,,TOOWOOMBA,2,3,WILL TO RULE,1,,Place,,,VicFix,2.1,0,0,-1,-4.6,9,-51.10%,-4.60%,-460,F,,,2.1,2.25,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1105,New Zealand,Horse Racing,,TE AROHA,2,1,CURRAHEE LAD,0.5,,Win,,,Tatts,2.2,0,0,-0.5,-5.1,9.5,-53.70%,-5.10%,-510,F,,,2.2,2.25,2.2,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1105,New Zealand,Horse Racing,,TE AROHA,2,1,CURRAHEE LAD,1,,Place,,,Lux,1.4,0,0,-1,-6.1,10.5,-58.10%,-6.10%,-610,F,,,1.4,1.44,1.4,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1300,Australia,Horse Racing,,SUNSHINE COAST,1,3,ZOUZOUKAKIA,0.5,,Win,,,VicFix,3.1,1,1.55,1.05,-5.1,11,-45.90%,-5.10%,-505,W,,,3.1,3.2,3.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1300,Australia,Horse Racing,,SUNSHINE COAST,1,3,ZOUZOUKAKIA,1,,Place,,,Tatts,1.67,1,1.67,0.67,-4.4,12,-36.50%,-4.40%,-438,W,,,1.67,1.8,1.67,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1513,Australia,Horse Racing,,DEVONPORT,5,3,WANAEA,0.4,,Win,,,Lux,20.8,0,0,-0.4,-4.8,12.4,-38.50%,-4.80%,-478,F,,,15,16,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2017,John's Analytics,,Sun,1513,Australia,Horse Racing,,DEVONPORT,5,3,WANAEA,0.8,,Place,,,Tatts,4.9,0,0,-0.8,-5.6,13.2,-42.30%,-5.60%,-558,F,,,3.4,3.8,3.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2017,John's Analytics,,Mon,1700,Australia,Horse Racing,,BENALLA,10,8,FILDANCER,0.15,,Win,,,SB,35,0,0,-0.15,-5.7,13.4,-42.90%,-5.70%,-573,F,,,35,36,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2017,John's Analytics,,Mon,1700,Australia,Horse Racing,,BENALLA,10,8,FILDANCER,0.3,,Place,,,CB,6.5,0,0,-0.3,-6,13.7,-44.20%,-6.00%,-603,F,,,6.5,8,6.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1410,Australia,Horse Racing,,SANDOWN,3,14,ARTIES DREAMWINNER,0.5,,Win,,,CB,6.9,0,0,-0.5,-6.5,14.2,-46.10%,-6.50%,-653,F,,,4.6,4.8,4.6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1410,Australia,Horse Racing,,SANDOWN,3,14,ARTIES DREAMWINNER,1,,Place,,,CB,2.3,3,2.3,1.3,-5.2,15.2,-34.50%,-5.20%,-523,W,,,1.9,2,1.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1500,Australia,Horse Racing,,STRATHALBYN,4,4,PERSEVERANCE,0.5,,Win,,,CB,11,0,0,-0.5,-5.7,15.7,-36.60%,-5.70%,-573,F,,,11,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1500,Australia,Horse Racing,,STRATHALBYN,4,4,PERSEVERANCE,1,,Place,,,VicFix,3,2,3,2,-3.7,16.7,-22.40%,-3.70%,-373,W,,,3,3.25,3,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1735,Australia,Horse Racing,,BELMONT PARK,4,10,MISS PLANET,0.4,,Win,,,CB,20.2,0,0,-0.4,-4.1,17.1,-24.20%,-4.10%,-413,F,,,15,16,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2017,John's Analytics,,Wed,1735,Australia,Horse Racing,,BELMONT PARK,4,10,MISS PLANET,0.8,,Place,,,SB,3.6,0,0,-0.8,-4.9,17.9,-27.60%,-4.90%,-493,F,,,3.6,3.8,3.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1410,Australia,Horse Racing,,GOSFORD,3,4,METEOR GAL,0.5,,Win,,,Lux,6,0,0,-0.5,-5.4,18.4,-29.60%,-5.40%,-543,F,,,6,7,6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1410,Australia,Horse Racing,,GOSFORD,3,4,METEOR GAL,1,,Place,,,SB,1.95,0,0,-1,-6.4,19.4,-33.20%,-6.40%,-643,F,,,1.95,2.1,1.95,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1620,Australia,Horse Racing,,BALLINA,7,6,GLITRA,0.5,,Win,,,Lux,10,0,0,-0.5,-6.9,19.9,-34.90%,-6.90%,-693,F,,,10,11,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1620,Australia,Horse Racing,,BALLINA,7,6,GLITRA,1,,Place,,,Lux,3.25,0,0,-1,-7.9,20.9,-38.00%,-7.90%,-793,F,,,3.25,3.45,3.25,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1723,Australia,Horse Racing,,ROCKHAMPTON,7,1,DAKOTA ROCKS,0.3,,Win,,,Lux,19,1,5.7,5.4,-2.5,21.2,-12.00%,-2.50%,-253,W,,,19,26,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/09/2017,John's Analytics,,Thu,1723,Australia,Horse Racing,,ROCKHAMPTON,7,1,DAKOTA ROCKS,0.6,,Place,,,SB,5.5,1,3.3,2.7,0.2,21.8,0.80%,0.20%,17,W,,,5.5,6,5.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,John's Analytics,,Fri,1320,Australia,Horse Racing,,TUNCURRY,2,12,WAIMEA BAY,0.5,,Win,,,Lux,3.2,1,1.6,1.1,1.3,22.3,5.70%,1.30%,127,W,,,3.2,3.6,3.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,John's Analytics,,Fri,1320,Australia,Horse Racing,,TUNCURRY,2,12,WAIMEA BAY,1,,Place,,,Lux,1.5,1,1.5,0.5,1.8,23.3,7.60%,1.80%,177,W,,,1.5,1.73,1.5,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,John's Analytics,,Fri,1442,Australia,Horse Racing,,BEAUDESERT,3,10,SCHMIDTY,0.5,,Win,,,CB,11,0,0,-0.5,1.3,23.8,5.30%,1.30%,127,F,,,11,12,11,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2017,John's Analytics,,Fri,1442,Australia,Horse Racing,,BEAUDESERT,3,10,SCHMIDTY,1,,Place,,,CB,3,2,3,2,3.3,24.8,13.20%,3.30%,327,W,,,3,3.2,3,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1308,Australia,Horse Racing,,GOLD COAST,2,6,ROYAL MYTH,0.5,,Win,,,BZ,2.1,0,0,-0.5,2.8,25.3,11.00%,2.80%,277,F,,,2,2.1,2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1308,Australia,Horse Racing,,GOLD COAST,2,6,ROYAL MYTH,1,,Place,,,SB,1.6,0,0,-1,1.8,26.3,6.70%,1.80%,177,F,,,1.3,1.36,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1311,Australia,Horse Racing,,MORPHETTVILLE,1,6,DANGER DEAL,0.5,,Win,,,CB,3.3,1,1.65,1.15,2.9,26.8,10.90%,2.90%,292,W,,,2.1,2.15,2.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1311,Australia,Horse Racing,,MORPHETTVILLE,1,6,DANGER DEAL,1,,Place,,,Tatts,1.2,1,1.2,0.2,3.1,27.8,11.20%,3.10%,312,W,,,1.15,1.18,1.15,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1329,Australia,Horse Racing,,DALBY,1,1,MAHARNI,0.5,,Win,,,VicFix,2.8,1,1.4,0.9,4,28.3,14.20%,4.00%,402,W,,,2.7,3,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1329,Australia,Horse Racing,,DALBY,1,1,MAHARNI,1,,Place,,,Lux,3.4,1,3.4,2.4,6.4,29.3,21.90%,6.40%,642,W,,,1.5,1.67,1.5,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1340,Australia,Horse Racing,,MOONEE VALLEY,3,2,REINCARNATE,0.4,,Win,,,Tatts,14,0,0,-0.4,6,29.7,20.30%,6.00%,602,F,,,14,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1340,Australia,Horse Racing,,MOONEE VALLEY,3,2,REINCARNATE,0.8,,Place,,,SB,4.2,0,0,-0.8,5.2,30.5,17.10%,5.20%,522,F,,,4.2,4.3,4.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1344,Australia,Horse Racing,,KEMBLA GRANGE,3,3,BABE IN BOOTS,0.5,,Win,,,Tatts,6.4,0,0,-0.5,4.7,31,15.30%,4.70%,472,F,,,4.6,4.8,4.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1344,Australia,Horse Racing,,KEMBLA GRANGE,3,3,BABE IN BOOTS,1,,Place,,,Lux,2.7,2,2.7,1.7,6.4,32,20.10%,6.40%,642,W,,,1.85,1.85,1.85,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1348,Australia,Horse Racing,,GOLD COAST,3,3,SNAPPER,0.5,,Win,,,VicFix,3.7,0,0,-0.5,5.9,32.5,18.20%,5.90%,592,F,,,3.6,3.7,3.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
