DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Flemington,,,Belfast Boy,0.5,,Win,,,,18,L,0,-0.5,-0.5,0.5,-100.00%,-0.50%,($50.00),L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Flemington,,,Belfast Boy,0.5,,Place,,,,4,L,0,-0.5,-1,1,-100.00%,-1.00%,($100.00),L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Flemington,,,Morant,0.5,,Win,,,,14,L,0,-0.5,-1.5,1.5,-100.00%,-1.50%,($150.00),L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Randwick,,,Agon,2,,Win,,,,6.5,L,0,-2,-3.5,3.5,-100.00%,-3.50%,($350.00),L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Randwick,,,Atmospherical,1,,Win,,,,2.6,W,2.6,1.6,-1.9,4.5,-42.20%,-1.90%,($190.00),W,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Randwick,,,Dance On Stars,0.5,,Win,,,,4.6,W,2.3,1.8,-0.1,5,-2.00%,-0.10%,($10.00),W,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-14,Luke Murrell,,Wed,,Australia,Horse Racing,,Randwick,,,More Than Brave,1,,Win,,,,4.5,W,4.5,3.5,3.4,6,56.70%,3.40%,$340.00 ,W,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Bruadar,0.5,,Win,,,,15,L,0,-0.5,2.9,6.5,44.60%,2.90%,$290.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Bruadar,0.5,,Place,,,,4,L,0,-0.5,2.4,7,34.30%,2.40%,$240.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Brustar,0.5,,Win,,,,5,W,2.5,2,4.4,7.5,58.70%,4.40%,$440.00 ,W,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Cassano,0.5,,Win,,,,4,W,2,1.5,5.9,8,73.80%,5.90%,$590.00 ,W,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Dr Livinston,0.5,,Win,,,,14,L,0,-0.5,5.4,8.5,63.50%,5.40%,$540.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Kembla Grange,,,Dr Livinston,0.5,,Place,,,,4,L,0,-0.5,4.9,9,54.40%,4.90%,$490.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Ashamar,0.5,,Win,,,,7,L,0,-0.5,4.4,9.5,46.30%,4.40%,$440.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Gangsters Choice,1,,Win,,,,6,L,0,-1,3.4,10.5,32.40%,3.40%,$340.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Imperil,1,,Win,,,,4.4,L,0,-1,2.4,11.5,20.90%,2.40%,$240.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Madame Ginoux,1,,Win,,,,12,L,0,-1,1.4,12.5,11.20%,1.40%,$140.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-14,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Madame Ginoux,1,,Place,,,,4,L,0,-1,0.4,13.5,3.00%,0.40%,$40.00 ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
