DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22-Oct-20,13:25,HAWKESBURY,1,7 – LET ME THINK,R.BAYLISS,334,WINNER,$2.28 /$1.17
22-Oct-20,13:30,BALLARAT,2,1 - AMERICAIN ANGEL (BEST BET),D.MOOR,2,2ND,/$1.99
22-Oct-20,14:05,HAWKESBURY,2,1 – SHADOW COLOUR,T.SCHILLER(A),222,2ND,/$1.38
22-Oct-20,14:20,ROCKHAMPTON,1,4 – ROCKN BLITZ,R.STEWART,432,,
22-Oct-20,14:30,BALLARAT,4,3 – DON’T QUESTION ME,M.POY(A),37X,WINNER,$5.00 /$1.88
22-Oct-20,14:55,ROCKHAMPTON,2,5 – GENOA,R.WIGGINS,9X1,2ND,/$1.32
22-Oct-20,15:15,HAWKESBURY,4,8 – DIORISSIMA,L.DAY(A),X33,,
22-Oct-20,15:30,BALLARAT,6,7 – DANE CLIPPER,M.RODD,4X2,2ND,/$1.32
22-Oct-20,15:35,ROCKHAMPTON,3,6 – HOLY FREEZE,J.STANLEY,X21,WINNER,$1.80 /$1.10
22-Oct-20,16:00,BALLARAT,7,2 – MISS HELLBENDER,M.LLOYD(A),6X1,,
22-Oct-20,16:30,BALLARAT,8,12 – QUEEN OR ROCKS,D.LANE,138,LATE,SCRATCHING
22-Oct-20,16:34,GERALTON,1,7 – WEDNESDAY,S.PARNHAM,324,WINNER,$2.58 /$1.30
22-Oct-20,16:45,ROCKHAMPTON,5,6 – ARTEMIS GIRL,B-D.APPO,53,,
22-Oct-20,17:05,HAWKESBURY,7,3 – ELECTRIFIED,B.AVDULLA,X62,2ND,/$1.30
22-Oct-20,17:12,GERALTON,2,9 – BUSH ICON,K.YUILL,522,WINNER,$2.60 /$1.40
22-Oct-20,17:25,ROCKHAMPTON,6,2 – BOGEY MAN,R.WIGGINS,106,,
22-Oct-20,17:40,HAWKESBURY,8,1 – MALKOVICH (BEST BET),R.KING,312,WINNER,$1.59 /$1.10
22-Oct-20,17:47,GERALTON,3,4 – INVICTUS DOMINI,M.PATEMAN,2X1,WINNER,$1.37 /$1.04
,,,,,,,,
,,,,,,,,
21-Oct-20,12:30,GEELONG,1,7 – VIVIDREDSKY,D.BATES,0X2,,
21-Oct-20,13:00,GEELONG,2,3 – SCOTTISH DANCER,M.DEE,X41,,
21-Oct-20,13:15,NARACOORTE,1,7 – ROYAL MILE,J.OPPERMAN(A),2,2ND,/$1.63
21-Oct-20,14:10,GEELONG,4,10 – OCULAR,B.ALLEN,141,2ND,/$1.32
21-Oct-20,15:10,RANDWICK,3,4 – BETHENCOURT,T.BERRY,X21,,
21-Oct-20,15:20,GEELONG,6,5 – ULTIMATE EDITION,D.LANE,531,,
